Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.0.1-23.1.1.1-36212-80-6,23.1.0.1,36212,23.1.1.1,80,6,22/05/2021 03:37:00 ����,833673.0,6,7,60.0,9744.0,60.0,0.0,10.0,24.49489743,2896.0,0.0,1392.0,1191.534585,11760.00662,15.59364403,69472.75,105371.4813,332872.0,4.0,739901.0,147980.2,209425.7888,444829.0,4.0,733876.0,122312.6667,215033.3416,528138.0,7.0,0,0,0,0,200,232,7.197066476,8.396577555,0.0,2896.0,700.2857142999999,1082.027117,1170782.681,1,2,0,2,12,0,0,0,1.0,754.1538462,10.0,1392.0,0.0,0.0,0.0,9804.0,6.0,18202.0,0.0,4.0,0.0,749.0,64240,509,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC
23.1.0.1-23.1.1.1-49444-80-6,23.1.0.1,49444,23.1.1.1,80,6,22/05/2021 03:49:02 ����,14372838.0,2,1,0.0,1448.0,0.0,0.0,0.0,0.0,1448.0,1448.0,1448.0,0.0,100.7455869,0.208727045,7186419.0,3630706.236,9753716.0,4619122.0,14400000.0,14400000.0,0.0,14400000.0,14400000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,88,32,0.139151363,0.069575682,0.0,1448.0,362.0,724.0,524176.0,1,0,0,0,3,0,0,0,0.0,482.6666667,0.0,1448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,501,509,0,44,0.0,0.0,0.0,0.0,9753716.0,0.0,9753716.0,9753716.0,CC
23.1.0.1-23.1.1.1-55172-80-6,23.1.0.1,55172,23.1.1.1,80,6,22/05/2021 03:38:40 ����,8257048.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363325973,4128524.0,5679263.878,8144370.0,112678.0,8257048.0,8257048.0,0.0,8257048.0,8257048.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,40,0.242217315,0.121108658,0.0,0.0,0.0,0.0,0.0,0,3,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,0,40,112678.0,0.0,112678.0,112678.0,8144370.0,0.0,8144370.0,8144370.0,CC
23.1.0.1-23.1.1.1-49832-80-6,23.1.0.1,49832,23.1.1.1,80,6,22/05/2021 03:49:01 ����,58653.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.2965577,11730.6,16384.56415,34363.0,3.0,58653.0,11730.6,16384.56415,34363.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0,102.2965577,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,496,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC
23.1.0.1-23.1.1.1-58618-80-6,23.1.0.1,58618,23.1.1.1,80,6,22/05/2021 03:38:53 ����,6266929.0,7,9,60.0,8296.0,60.0,0.0,8.571428571,22.67786838,2896.0,0.0,921.7777778,1009.021528,1333.348439,2.553084613,417795.2667,621699.5014,2378458.0,138.0,6152812.0,1025468.667,1141605.672,3154116.0,138.0,6149782.0,768722.75,758976.3047,2378458.0,235.0,0,0,0,0,240,312,1.116974518,1.436110095,0.0,2896.0,491.5294118,854.7091697000003,730527.7647,1,5,0,2,14,0,0,0,1.0,522.25,8.571428571,921.7777778,0.0,0.0,0.0,5852.0,4.0,4237.0,0.0,3.0,0.0,518.0,64240,509,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC
23.1.1.1-23.1.0.1-80-54332-6,23.1.1.1,80,23.1.0.1,54332,6,22/05/2021 03:38:39 ����,2105717.0,1,1,1056.0,0.0,1056.0,1056.0,1056.0,0.0,0.0,0.0,0.0,0.0,501.4918909,0.949795248,2105717.0,0.0,2105717.0,2105717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,32,32,0.474897624,0.474897624,0.0,1056.0,704.0,609.6818843,371712.0,2,0,0,1,2,0,0,0,1.0,1056.0,1056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,0.0,0.0,509,501,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC
23.1.1.1-23.1.0.1-80-34746-6,23.1.1.1,80,23.1.0.1,34746,6,22/05/2021 03:39:52 ����,30282158.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066045491,30300000.0,0.0,30300000.0,30300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.033022746,0.033022746,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509,501,0,32,0.0,0.0,0.0,0.0,30300000.0,0.0,30300000.0,30300000.0,CC
23.1.0.1-23.1.1.1-47758-80-6,23.1.0.1,47758,23.1.1.1,80,6,22/05/2021 03:52:03 ����,4633108.0,5,3,0.0,4344.0,0.0,0.0,0.0,0.0,1448.0,1448.0,1448.0,0.0,937.5995552,1.72670268,661872.5714,1553928.949,4181580.0,3.0,4633108.0,1158277.0,2119623.238,4330504.0,3.0,4357523.0,2178761.5,3080876.2660000008,4357270.0,253.0,0,0,0,0,196,96,1.079189175,0.647513505,0.0,1448.0,482.6666667,724.0,524176.0,1,0,0,0,8,0,0,0,0.0,543.0,0.0,1448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0,501,502,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC
23.1.0.1-23.1.1.1-54204-80-6,23.1.0.1,54204,23.1.1.1,80,6,22/05/2021 03:38:33 ����,11784570.0,8,11,120.0,19880.0,60.0,0.0,15.0,27.77460299,2896.0,0.0,1807.272727,899.0053493999999,1697.134473,1.61227775,654698.3333,1358054.131,4866270.0,236.0,11600000.0,1662779.1430000004,3215007.123,8861966.0,244.0,11700000.0,1169859.4,1708946.671,4866270.0,236.0,0,0,0,0,288,360,0.678853789,0.93342396,0.0,2896.0,1000.0,1124.321737,1264099.368,1,2,0,3,18,0,0,0,1.0,1052.631579,15.0,1807.272727,0.0,0.0,0.0,7828.0,4.0,12577.0,0.0,6.0,0.0,1046.0,64240,502,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC
23.1.0.1-23.1.1.1-54556-80-6,23.1.0.1,54556,23.1.1.1,80,6,22/05/2021 03:49:27 ����,836482.0,6,4,0.0,5400.0,0.0,0.0,0.0,0.0,1448.0,1056.0,1350.0,196.0,6455.60813,11.95482987,92942.44444,72610.90366,162342.0,3.0,685177.0,137035.4,134817.7764,285597.0,3.0,543034.0,181011.3333,159762.6839,303285.0,246.0,0,0,0,0,252,128,7.172897922000001,4.781931948,0.0,1448.0,490.9090909,689.5171432999997,475433.8909,1,0,0,1,10,0,0,0,0.0,540.0,0.0,1350.0,0.0,0.0,0.0,5400.0,4.0,9944.0,0.0,0.0,0.0,540.0,502,509,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC
