Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.0.7-23.1.1.1-53726-80-6,23.1.0.7,53726,23.1.1.1,80,6,22/05/2021 03:51:52 ����,5198512.0,8,5,0.0,8688.0,0.0,0.0,0.0,0.0,2896.0,1448.0,1737.6,647.5652863,1671.247465,2.500715589,433209.3333,901343.4638,2979369.0,25.0,5198512.0,742644.5714,1716441.512,4625450.0,25.0,4721884.0,1180471.0,1427678.5569999998,2979369.0,246.0,0,0,0,0,352,160,1.538901901,0.961813688,0.0,2896.0,620.5714286,935.706538,875546.7253,0,0,1,0,13,0,0,0,0.0,668.3076923,0.0,1737.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,502,501,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-60228-80-6,23.1.0.7,60228,23.1.1.1,80,6,22/05/2021 03:51:47 ����,4736252.0,5,3,309.0,1448.0,309.0,0.0,61.8,138.189001,1448.0,0.0,482.6666667,836.0031897999999,370.9684366,1.689099313,676607.4286,1128855.385,3111212.0,238.0,4736252.0,1184063.0,1488601.008,3325094.0,238.0,3298121.0,1649060.5,2331767.342,3297869.0,252.0,0,0,0,0,176,104,1.055687071,0.633412242,0.0,1448.0,195.2222222,480.7779575,231147.4444,1,3,0,1,6,0,0,0,0.0,219.625,61.8,482.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,181.0,64240,507,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-36998-80-6,23.1.0.7,36998,23.1.1.1,80,6,22/05/2021 03:42:30 ����,19.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263157.8947,4.75,2.217355783,8.0,3.0,19.0,4.75,2.217355783,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,136,0,263157.8947,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,496,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-47270-80-6,23.1.0.7,47270,23.1.1.1,80,6,22/05/2021 03:47:05 ����,10262972.0,6,2,0.0,2896.0,0.0,0.0,0.0,0.0,1448.0,1448.0,1448.0,0.0,282.1794700000001,0.779501298,1466138.8569999996,3204474.193,8627817.0,6.0,10300000.0,2052594.4,4587713.734,10300000.0,6.0,8627817.0,8627817.0,0.0,8627817.0,8627817.0,0,0,0,0,264,64,0.5846259739999999,0.194875325,0.0,1448.0,321.7777778,638.5079831,407692.4444,1,0,0,0,8,0,0,0,0.0,362.0,0.0,1448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,502,501,0,44,1485957.0,0.0,1485957.0,1485957.0,8627817.0,0.0,8627817.0,8627817.0,HTTP-Flood
23.1.0.7-23.1.1.1-32826-80-6,23.1.0.7,32826,23.1.1.1,80,6,22/05/2021 03:41:03 ����,471993.0,9,6,361.0,11192.0,361.0,0.0,40.11111111,120.3333333,2896.0,0.0,1865.333333,1452.835389,24477.05792,31.78013233,33713.785710000004,52664.01756,171579.0,3.0,397258.0,49657.25,94873.70251,244102.0,3.0,385522.0,77104.4,110068.9176,237985.0,238.0,0,0,0,0,284,200,19.0680794,12.71205293,0.0,2896.0,722.0625,1244.154249,1547919.796,1,2,2,2,13,0,0,0,0.0,770.2,40.11111111,1865.333333,0.0,0.0,0.0,11553.0,5.0,67043.0,0.0,24.0,0.0,746.0,64240,507,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-41456-80-6,23.1.0.7,41456,23.1.1.1,80,6,22/05/2021 03:31:15 ����,22.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90909.09091,22.0,0.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,90909.09091,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,501,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.1.1-23.1.0.7-80-57130-6,23.1.1.1,80,23.1.0.7,57130,6,22/05/2021 03:51:15 ����,2674730.0,7,6,8688.0,353.0,2896.0,0.0,1241.142857,1302.816875,353.0,0.0,58.83333333,144.1116465,3380.1542590000013,4.860303657,222894.1667,386769.3161,1071536.0,6.0,2550672.0,425112.0,539030.2193,1187609.0,228.0,1603194.0,320638.8,583453.7296,1345025.0,6.0,0,0,0,0,248,200,2.617086584,2.243217072,0.0,2896.0,645.7857142999999,1083.196848,1173315.412,0,4,1,1,11,0,0,0,0.0,695.4615385,1241.142857,58.83333333,0.0,0.0,0.0,9041.0,5.0,67417.0,0.0,668.0,0.0,27.0,64240,501,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-42700-80-6,23.1.0.7,42700,23.1.1.1,80,6,22/05/2021 03:31:36 ����,2635504.0,8,5,341.0,8688.0,341.0,0.0,42.625,120.5617062,2896.0,0.0,1737.6,1586.204527,3425.910186,4.932642865,219625.3333,367467.0902,1013656.0,4.0,2635504.0,376500.5714,561544.4954,1364752.0,4.0,1334150.0,333537.5,477823.7648,1013656.0,190.0,0,0,0,0,260,176,3.035472532,1.897170333,0.0,2896.0,644.9285714,1223.289038,1496436.071,0,4,2,1,10,0,0,0,0.0,694.5384615,42.625,1737.6,0.0,0.0,0.0,9029.0,4.0,55161.0,0.0,26.0,0.0,668.0,64240,507,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-46112-80-6,23.1.0.7,46112,23.1.1.1,80,6,22/05/2021 03:33:05 ����,1478690.0,2,7,387.0,11192.0,387.0,0.0,193.5,273.6503243,2896.0,0.0,1598.857143,1502.001712,7830.57977,6.086468428,184836.25,352509.0798,1038060.0,231.0,1355694.0,1355694.0,0.0,1355694.0,1355694.0,1334554.0,222425.6667,416562.5438,1038060.0,231.0,0,0,0,0,72,240,1.35254854,4.733919889,0.0,2896.0,1157.9,1420.989831,2019212.1,1,3,0,2,8,0,0,0,3.0,1286.555556,193.5,1598.857143,0.0,0.0,0.0,11579.0,5.0,94141.0,0.0,43.0,0.0,1243.0,64240,507,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-40216-80-6,23.1.0.7,40216,23.1.1.1,80,6,22/05/2021 03:31:09 ����,51518.0,3,8,361.0,11192.0,361.0,0.0,120.3333333,208.4234472,2896.0,0.0,1399.0,1286.159732,224251.7178,213.51760550000003,5151.8,8057.053346,21701.0,4.0,28584.0,14292.0,14413.66463,24484.0,4100.0,33719.0,4817.0,12202.0091,32486.0,4.0,0,0,0,0,104,264,58.23207423,155.2855313,0.0,2896.0,962.75,1215.233844,1476793.295,1,2,0,2,10,0,0,0,2.0,1050.272727,120.3333333,1399.0,0.0,0.0,0.0,11553.0,6.0,503837.0,0.0,32.0,0.0,1017.0,64240,507,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
