Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.0.10-23.1.1.2-38394-80-6,23.1.0.10,38394,23.1.1.2,80,6,23/05/2021 07:55:20 AM,111488631.0,10,2,2552.0,0.0,319.0,0.0,255.2,134.50220980000003,0.0,0.0,0.0,0.0,22.89022636,0.107634293,10100000.0,17300000.0,55200000.0,5872.0,111000000.0,12400000.0,18500000.0,55200000.0,5872.0,111000000.0,111000000.0,0.0,111000000.0,111000000.0,0,0,0,0,328,60,0.089695244,0.017939049,0.0,319.0,196.3076923,161.531929,26092.5641,0,2,1,8,10,0,0,0,0.0,212.6666667,255.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,64240,0,8,32,7110107.0,0.0,7110107.0,7110107.0,26100000.0,21400000.0,55200000.0,6814028.0,SlowBody
23.1.0.10-23.1.1.2-46822-80-6,23.1.0.10,46822,23.1.1.2,80,6,23/05/2021 07:56:12 AM,106220349.0,13,1,2871.0,0.0,319.0,0.0,220.8461538,153.24264319999995,0.0,0.0,0.0,0.0,27.02871933,0.131801487,8170796.077,14200000.0,49100000.0,3411.0,106000000.0,8851695.75,14600000.0,49100000.0,3411.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,440,40,0.122387096,0.0094143919999999,0.0,319.0,191.4,161.7625244,26167.11429,0,4,0,9,11,0,0,0,0.0,205.0714286,220.8461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,64240,65160,9,32,3643405.0,3766363.258,6306626.0,980184.0,19800000.0,18100000.0,49100000.0,6247128.0,SlowBody
23.1.0.10-23.1.1.2-43328-80-6,23.1.0.10,43328,23.1.1.2,80,6,23/05/2021 08:03:27 AM,118294425.0,15,1,2723.0,0.0,389.0,0.0,181.5333333,200.8787362,0.0,0.0,0.0,0.0,23.01883626,0.13525574,7886295.0,10900000.0,33500000.0,9485.0,118000000.0,8449601.786,11100000.0,33500000.0,9485.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,536,40,0.126802256,0.008453484,0.0,389.0,160.1764706,197.33956630000003,38942.90441,0,8,0,7,9,0,0,0,0.0,170.1875,181.5333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,64240,65160,7,32,6963178.0,319649.0346,7189204.0,6737152.0,20900000.0,9707647.575,33500000.0,8188893.0,SlowBody
23.1.0.10-23.1.1.2-50298-80-6,23.1.0.10,50298,23.1.1.2,80,6,23/05/2021 08:04:10 AM,85031305.0,12,2,3501.0,0.0,389.0,0.0,291.75,175.9318696,0.0,0.0,0.0,0.0,41.17307149,0.164645244,6540869.615,12000000.0,41000000.0,31247.0,84900000.0,7720046.0,12800000.0,41000000.0,31247.0,83000000.0,83000000.0,0.0,83000000.0,83000000.0,0,0,0,0,400,60,0.141124495,0.023520749,0.0,389.0,233.4,197.2590031,38911.11429,0,3,1,9,11,0,0,0,0.0,250.0714286,291.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,64240,0,9,32,7115916.0,0.0,7115916.0,7115916.0,19500000.0,15900000.0,41000000.0,5082047.0,SlowBody
23.1.1.2-23.1.0.10-80-44868-6,23.1.1.2,80,23.1.0.10,44868,6,23/05/2021 07:56:00 AM,65297714.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107201303,10900000.0,12500000.0,33800000.0,971576.0,0.0,0.0,0.0,0.0,0.0,64300000.0,12900000.0,12900000.0,33800000.0,2128279.0,0,0,0,0,40,240,0.0153144719999999,0.091886831,0.0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,0,40,7190277.0,0.0,7190277.0,7190277.0,19400000.0,13100000.0,33800000.0,8263373.0,SlowBody
23.1.0.10-23.1.1.2-39204-80-6,23.1.0.10,39204,23.1.1.2,80,6,23/05/2021 08:02:00 AM,4397.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.8555834,4397.0,0.0,4397.0,4397.0,4397.0,4397.0,0.0,4397.0,4397.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,454.8555834,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,501,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SlowBody
23.1.0.10-23.1.1.2-49948-80-6,23.1.0.10,49948,23.1.1.2,80,6,23/05/2021 07:43:39 AM,65099723.0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107527339,10800000.0,12400000.0,33600000.0,1037625.0,65100000.0,10800000.0,12400000.0,33600000.0,1037625.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,0.107527339,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64240,0,0,40,7176405.0,0.0,7176405.0,7176405.0,19300000.0,13000000.0,33600000.0,8207881.0,SlowBody
23.1.1.2-23.1.0.10-80-36652-6,23.1.1.2,80,23.1.0.10,36652,6,23/05/2021 08:02:45 AM,89562.0,2,0,444.0,0.0,444.0,0.0,222.0,313.9554108,0.0,0.0,0.0,0.0,4957.459637,22.33089927,89562.0,0.0,89562.0,89562.0,89562.0,89562.0,0.0,89562.0,89562.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,52,0,22.33089927,0.0,0.0,444.0,296.0,256.3435195,65712.0,0,0,1,1,1,0,0,0,0.0,444.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222.0,0.0,0.0,502,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SlowBody
23.1.0.10-23.1.1.2-34054-80-6,23.1.0.10,34054,23.1.1.2,80,6,23/05/2021 07:45:55 AM,2944334.0,4,2,155.0,0.0,155.0,0.0,38.75,77.5,0.0,0.0,0.0,0.0,52.64348406,2.037812286,588866.8,1078993.122,2515682.0,728.0,2944334.0,981444.6667,1438718.592,2633077.0,728.0,267346.0,267346.0,0.0,267346.0,267346.0,0,0,0,0,136,72,1.358541524,0.679270762,0.0,155.0,22.14285714,58.58449332,3432.142857,1,2,0,1,5,0,0,0,0.0,25.83333333,38.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,64240,508,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SlowBody
23.1.0.10-23.1.1.2-34990-80-6,23.1.0.10,34990,23.1.1.2,80,6,23/05/2021 07:52:38 AM,21229548.0,4,4,319.0,486.0,319.0,0.0,79.75,159.5,486.0,0.0,121.5,243.0,37.91884782,0.37683327,3032792.5710000005,7532592.167,20100000.0,19.0,1087555.0,362518.3333,546295.6237,990931.0,751.0,20200000.0,6730848.667,11600000.0,20100000.0,19.0,0,0,0,0,144,136,0.188416635,0.188416635,0.0,486.0,89.44444444,182.330134,33244.277780000004,1,3,0,2,6,0,0,0,1.0,100.625,79.75,121.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,60.0,64240,501,1,32,1133863.0,0.0,1133863.0,1133863.0,20100000.0,0.0,20100000.0,20100000.0,SlowBody
